,File type,Extension,Timestamp of creation in D1,New creation time in D1 copyTimestamp of last modification,Original file path,New path after copying
0,HTML1,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML1.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML1.xhtml
1,HTML2,.html5,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML2.html5,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML2.html5
2,HTML3,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML3.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML3.xhtml
3,HTML4,.htm,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML4.htm,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML4.htm
4,HTML5,.html,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML5.html,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML5.html
5,HTML6,.htm,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML6.htm,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML6.htm
6,HTML7,.xhtml,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML7.xhtml,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML7.xhtml
7,HTML8,.html5,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML8.html5,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML8.html5
8,HTML9,.html,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML9.html,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML9.html
9,HTML10,.html,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML10.html,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML10.html
10,HTML11,.html,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML11.html,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML11.html
11,HTML12,.html5,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML12.html5,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML12.html5
12,HTML13,.html5,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML13.html5,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML13.html5
13,HTML14,.html,Wed Jul 29 21:07:52 2020,,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1\HTML14.html,C:\Users\labdh\OneDrive\Desktop\nirma\4th sem\Python scientific computing\PSC sessional\PSC Sessional Assignment\D1_copy\HTML\HTML14.html
